"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","302","Test slider value","tests.slider","Sun Mar 22 21:33:31 UTC 2026","passed","Sun Mar 22 21:33:32 UTC 2026","TestSlider","test_slider","",""
"","213","Test slider title and breadcrumbs","tests.slider","Sun Mar 22 21:33:31 UTC 2026","passed","Sun Mar 22 21:33:31 UTC 2026","TestSlider","test_slider","",""
"","283","Test description at form fields","tests.form_fields","Sun Mar 22 21:33:15 UTC 2026","passed","Sun Mar 22 21:33:15 UTC 2026","TestFormFields","test_form_fields","",""
"","738","Test click Courses","tests.main","Sun Mar 22 21:33:19 UTC 2026","passed","Sun Mar 22 21:33:20 UTC 2026","TestMain","test_main","",""
"","647","Test navigate from form fields to home","tests.form_fields","Sun Mar 22 21:33:17 UTC 2026","passed","Sun Mar 22 21:33:17 UTC 2026","TestFormFields","test_form_fields","",""
"","540","Test navigate to popups","tests.main","Sun Mar 22 21:33:22 UTC 2026","passed","Sun Mar 22 21:33:22 UTC 2026","TestMain","test_main","",""
"","205","Test click events description","tests.click_events","Sun Mar 22 21:33:16 UTC 2026","passed","Sun Mar 22 21:33:17 UTC 2026","TestClickEvents","test_click_events","",""
"","360","Test navigate to slider","tests.main","Sun Mar 22 21:33:24 UTC 2026","passed","Sun Mar 22 21:33:24 UTC 2026","TestMain","test_main","",""
"","324","Test popups tooltip","tests.popups","Sun Mar 22 21:33:30 UTC 2026","passed","Sun Mar 22 21:33:30 UTC 2026","TestPopups","test_popups","",""
"","251","Test popups prompt popup accept","tests.popups","Sun Mar 22 21:33:28 UTC 2026","passed","Sun Mar 22 21:33:29 UTC 2026","TestPopups","test_popups","",""
"","199","Test navigate to form fields","tests.main","Sun Mar 22 21:33:23 UTC 2026","passed","Sun Mar 22 21:33:23 UTC 2026","TestMain","test_main","",""
"","205","Test click animals button","tests.click_events","Sun Mar 22 21:33:18 UTC 2026","passed","Sun Mar 22 21:33:18 UTC 2026","TestClickEvents","test_click_events","",""
"","289","Test main buttons","tests.main","Sun Mar 22 21:33:21 UTC 2026","passed","Sun Mar 22 21:33:21 UTC 2026","TestMain","test_main","",""
"","194","Test slider description","tests.slider","Sun Mar 22 21:33:31 UTC 2026","passed","Sun Mar 22 21:33:31 UTC 2026","TestSlider","test_slider","",""
